id,words,English_characters
1,麒麟です,kirindesu
2,妖怪エノキ小僧,youkaienokikozou
3,やすきよだよ！,yasukiyodayo
4,ええ土,eetuti
5,J文式土器,jmonsikidoki
6,結婚ニベア,kekkonnibea
7,俺のおもしろいやつ！,orenoomoroiyatu
8,SMタクシー,smtakusi-
9,顔歪んでる,kaoyuganderu
10,激安王,gekiyasuou
11,シャネルのムヒ,syanerunomuhi
12,村上ファンドか,murakamifandoka
13,しのびねぇな,kamawanyo
14,なぜ内ももだ,nazeutimomoda
15,チリンチリン,tirintirin
16,ジンギス館,zingisukan
17,ボイラー室,boira-situ
18,施工主のバカ,sekounusinobaka
19,一歩も動かんぞー,ippomougokanzo-
20,ファナスティ,fanasuthi
21,ヤホー,yaho-
22,へッ,he
23,４４３１,4431
24,このハッピー野郎,konohappi-yarou
25,鳥人,torijin
26,控えめなフック,hikaemenahukku
27,わんぱく工事現場,wanpakukouzigenba
28,ズ・グヌンバペペ,zugununbapepe
29,チンポジ,tinpozi
30,サンタウロス,santaurosu
31,糠味噌のケーキ,nukamisonoke-ki
32,毒蜘蛛のポーズ,dokugumonopo-zu
33,ここWi-Fi飛んでんな,kokowifitondenna
34,幼き頃,osanakikoro
35,リングリリングリ,ringuriringuri
36,ベルリンの壁ドン,berurinnokabedon
37,醤油フェスティバル,syouyufesuthibaru
38,タニタ,tanita
39,斎藤さんだぞ,saitousandazo
40,ぺ,pe
41,パズドラ課金,pazudorakakin
42,振ってもうた〜,huttemouta-
43,ドーナッツのツー,do-nattunotu-
44,地主さんやから,zinusisanyakara
45,能なん,nounan
46,笑神籤,emikuzi
47,続行,zokkou
48,ピンポンパンポン,pinponpanpon
49,芋神様,imogamisama
50,勾玉,magatama
51,マルコ牧師,marukobokusi
52,あたおか,ataoka
53,テッテレー,tettere-
54,ポイントカード,pointoka-do
55,国名分けっこ,kunimeiwakekko
56,ドネシア,donesia
57,ゼンチン,zentin
58,ナカジマックス,nakazimakkusu
59,だめー,dame-
60,味噌汁大臣,misosirudaizin
61,1斤,1kin
62,学校で喋るな,gakkoudesyaberuna
63,７代目ひょうきんもの,7daimehyoukinmono
64,UFJ,usj
65,故郷の母君,countrymaam
66,寿返し,happyturn
67,ダンサーのツナヨシ,dansa-notunayosi
68,悪くないだろう,warukunaidarou
69,時を戻そう,tokiwomodosou
70,コーンフレークやないかい,ko-nhure-kuyanaikai
71,栄養バランスの五角形デカすぎる,ko-nhure-kuyanaikai
72,子どもの頃　何故かみんな憧れたらしいねん,ko-nhure-kuyanaikai
73,朝から楽して腹を満たしたいという煩悩の塊やねん,ko-nhure-kuyanaikai
74,生産者さんの顔が浮かばへんのよ,ko-nhure-kuyanaikai
75,パフェとかの　カサ増しに使われてるらしいで,ko-nhure-kuyanaikai
76,浮かんでくるのは腕組んでる虎の顔だけやねん,ko-nhure-kuyanaikai
77,マカロンの先祖,monaka
78,食べたら皮が全部上顎に引っ付くらしい,monakayanaikai
79,関係性で言うと、もみじまんじゅうのいとこらしい,monakayanaikai
80,関係性で言うと、八橋の腹違いの兄弟らしい,monakayanaikai
81,関係性で言うと最中の双子らしい,monakayanaikai
82,なにみてんねんこら,nanimitennenkora
83,アンミカドラゴン,anmikadoragon
84,ただ盛り上がるか,tadamoriagaruka
85,フレンチ,hurenti
86,おわりーじゃねぇんだよ,owari-zyaneendayo
87,いなり・カンピョウ・カッパ巻,zakozusi
88,ひてぃにき,hitexiniki
89,CRまさのり,crmasanori
90,いないよ,inaiyo
91,復讐だよ,hukusyuudayo
92,つり革,turikawa
93,ジュークボックスか,zyu-kubokkusuka
94,中川家,nakagawake
95,フットボールアワー,huttobo-ruawa-
96,チュートリアル,tyu-toriaru
97,おぎやはぎ,ogiyahagi
98,キングコング,kingukongu
99,麒麟,kirin
100,ますだおかだ,masudaokada
101,笑い飯,waraimesi
102,スピードワゴン,supi-dowagon
103,千鳥,tidori
104,アンタッチャブル,antattyaburu
105,タカアンドトシ,takaandotosi
106,東京ダイナマイト,toukyoudainamaito
107,トータルテンボス,to-tarutenbosu
108,南海キャンディーズ,nankaikyandhi-zu
109,ブラックマヨネーズ,burakkumayone-zu
110,ダイアン,daian
111,サンドウィッチマン,sandowhittiman
112,ナイツ,naitu
113,ＮＯＮ ＳＴＹＬＥ,nonstyle
114,オードリー,o-dori-
115,ハライチ,haraiti
116,パンクブーブー,pankubu-bu-
117,ジャルジャル,jarujaru
118,スリムクラブ,surimukurabu
119,銀シャリ,ginsyari
120,メイプル超合金,meipurutyougoukin
121,馬鹿よ貴方は,bakayoanataha
122,スーパーマラドーナ,su-pa-marado-na
123,和牛,wagyuu
124,トレンディエンジェル,torendhienzyeru
125,アキナ,akina
126,カミナリ,kaminari
127,相席スタート,aisekisuta-to
128,とろサーモン,torosa-mon
129,かまいたち,kamaitati
130,マヂカルラブリー,mazikaruraburi-
131,ミキ,miki
132,見取り図,mitorizu
133,トム・ブラウン,tomuburaun
134,霜降り明星,simohurimyouzyou
135,ニューヨーク,nyu-yo-ku
136,すゑひろがりず,suehirogarizu
137,ミルクボーイ,mirukubo-i
138,オズワルド,ozuwarudo
139,ぺこぱ,pekopa
140,おいでやすこが,oideyasukoga